,term_2_umls_synonyms,term_1_umls_name,is correct,pipeline,relation,term_2_umls_name,evidence_count,sentence,term_1_umls_synonyms
674,atherogenic dyslipidaemia;atherogenic dyslipidemia,cereal,0.0,foodis,cause,atherogenic dyslipidaemia,1,"A decreasing intake of coarse cereals, pulses, fruits and vegetables, an increasing intake of meat products and salt, coupled with declining levels of physical activity due to rapid urbanization have resulted in escalating levels of obesity, atherogenic dyslipidemia, subclinical inflammation, metabolic syndrome, type 2 diabetes mellitus, and coronary heart disease in Indians.","cereal;cereal (substance);cereal grain;cereal grains;cereals;grain;grain, cereal;grains, cereal"
675,enteropathy,cereal,1.0,foodis,cause,enteropathy,1,Celiac disease (CD) is an immune-mediated enteropathy triggered by the ingestion of cereal gluten proteins.,"cereal;cereal (substance);cereal grain;cereal grains;cereals;grain;grain, cereal;grains, cereal"
685,[d]hypoxaemia;[d]hypoxemia;[d]hypoxemia (context-dependent category);[d]hypoxemia (situation);arterial hypoxaemia;arterial hypoxemia;blood oxygen decreased;blood oxygen level below normal;hypoxaemia;hypoxemia;hypoxemia (diagnosis);hypoxemia (disorder);hypoxemia (finding);hypoxemias;low blood oxygen level;o2 saturation decreased,chicken - meat,0.0,foodis,cause,[d]hypoxaemia,1,"In view of the evidence presented, it appears that hypoxaemia and tissue hypoxia in broiler chickens may be a result of circulatory insufficiency associated with progressive bradycardia rather than, as commonly believed, pulmonary insufficiency.",chicken - meat;chicken - meat (substance);chicken meat;chickens
686,ascites,chicken - meat,0.0,foodis,cause,ascites,1,We conclude that increasing dietary bicarbonate and reducing dietary chloride has potential as a low cost and effective method to reduce the pulmonary hypertension which leads to ascites in broiler chickens.,chicken - meat;chicken - meat (substance);chicken meat;chickens
687,"bacterial infection caused by e. coli;bacterial infection due to e. coli;bacterial infection due to e. coli, nos;coli e infection;coli e infections;coli e. infection;colibacillosis;e coli infect;e coli infection;e coli infections;e coli infections, recurrent;e-192 escherichia coli infections;e. coli infection;e. coli infections;e.coli infection nec/nos;escherichia coli [e. coli] nos;escherichia coli infect;escherichia coli infection;escherichia coli infection (diagnosis);escherichia coli infections;infect e coli;infect escherichia coli;infection caused by escherichia coli;infection caused by escherichia coli (disorder);infection due to escherichia coli;infection due to escherichia coli (disorder);infection due to escherichia coli, nos;infection, e coli;infection, e. coli;infection, escherichia coli;infection;e coli;infections e coli;infections, e coli;infections, escherichia coli;other and unspecified e. coli;other and unspecified escherichia coli;other and unspecified escherichia coli [e. coli];recurrent e. coli infections;unsp escherichia coli as the cause of diseases classd elswhr;unspecified escherichia coli [e. coli] as the cause of diseases classified elsewhere",chicken - meat,0.0,foodis,cause,bacterial infection caused by e. coli,1,"Avian pathogenic Escherichia coli (APEC), a subgroup of extraintestinal pathogenic E. coli (ExPEC), causes colibacillosis in chickens resulting in economic loss because of treatment, condemnation of products, and death.",chicken - meat;chicken - meat (substance);chicken meat;chickens
1151,2 phenyl benzopyran;2 phenyl benzopyrans;2 phenyl chromene;2 phenyl chromenes;2-phenyl-benzopyrans;2-phenyl-chromenes;flavonoid;flavonoid (substance);flavonoid-containing product;flavonoids;product containing flavonoid (product),acerola cherry,0.0,foodchem,contains,flavonoids,1,"The protective effect of these extracts is attributed to the presence of flavonoids in soy and alfalfa extracts and ascorbic acid in acerola cherry extract, which may act synergistically as antioxidants.",acerola cherry;barbados cherry;barbados cherry (substance);fruit of malpighia emarginata
1152,"2-(1,2-dihydroxyethyl)-4,5-dihydroxy-furan-3-one;a46 vitamin c preparations;acid, ascorbic;acid, l-ascorbic;acide ascorbique;acidum ascorbicum;acidum ascorbinicum;ascorbic acid;ascorbic acid (medication);ascorbic acid (substance);ascorbic acid (vit c);ascorbic acid [nutrition];ascorbic acid [nutrition] (product);ascorbic acid [nutrition] (substance);ascorbic acid [urine ph - no drugs here];ascorbic acid [urine ph - no drugs here] (product);ascorbic acid [urine ph - no drugs here] (substance);ascorbic acid [urine ph];ascorbic acid preparation;ascorbic acid product;ascorbic acid-containing product;ascorbinsäure;c vitamin;l ascorbic acid;l-(+)-ascorbic acid;l-ascorbic acid;product containing ascorbic acid;product containing ascorbic acid (medicinal product);vit c;vitamin c (ascorbic acid);vitamin c preparation;vitamin c preparation (product);vitamin c preparation (substance);vitamin c preparation, nos;vitamin c preparations;vitamin c product;vitamin-c;vitamina c;vitamins ascorbic acid;vitc - ascorbic acid;ácido ascórbico",acerola cherry,1.0,foodchem,contains,"2-(1,2-dihydroxyethyl)-4,5-dihydroxy-furan-3-one",1,"The protective effect of these extracts is attributed to the presence of flavonoids in soy and alfalfa extracts and ascorbic acid in acerola cherry extract, which may act synergistically as antioxidants.",acerola cherry;barbados cherry;barbados cherry (substance);fruit of malpighia emarginata
1153,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)",acid fatty trans,0.0,foodchem,contains,cholesterol,1,"The results are discussed in the light of the typical nutrients and other compounds present in meat--that is, saturated and trans fatty acids, dietary cholesterol, protein and amino acids, heme-iron, sodium, nitrites and nitrosamines, and advanced glycation end products.","acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids"
1154,"(9z,12z)-octadecadienoic acid;(z,z)-9,12-octadecadienoic acid;9, 12-octadecadienoic acid;9,12 octadecadienoic acid;9,12-linoleic acid;9,12-octadecadienoic acid;9-cis,12-cis-octadecadienoic acid;9z,12z-octadecadienoic acid;acid linoleic;acid, 9,12-octadecadienoic;acide cis-linoléique;acide linoléique;all-cis-9,12-octadecadienoic acid;c18:2 9c, 12c omega6 todos cis-9,12-octadienoico;cis, cis-octadeca-9,12-dienoic acid;cis,cis-9,12-octadecadienoic acid;cis,cis-linoleic acid;fatty acid 18:2 n-6;linoleic acid;linoleic acid (substance);linoleic acid, (z,z)-isomer;linolic acid;octadecadienoic acid 009 012;ácido linoleico",acid fatty trans,0.0,foodchem,contains,"(9z,12z)-octadecadienoic acid",1,"There are 2 predominant sources of dietary trans fatty acids (TFA) in the food supply, those formed during the industrial partial hydrogenation of vegetable oils (iTFA) and those formed by biohydrogenation in ruminants (rTFA), including vaccenic acid (VA) and the naturally occurring isomer of conjugated linoleic acid, cis-9, trans-11 CLA (c9,t11-CLA).","acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids"
1155,"11-octadecenoic acid, (e)-isomer;fatty acid 18:1 n-7 trans;trans-11-octadecenoic acid;trans-octadec-11-enoic acid 18:1 n-7;vaccenic acid;vaccenic acid (substance)",acid fatty trans,0.0,foodchem,contains,"11-octadecenoic acid, (e)-isomer",1,"There are 2 predominant sources of dietary trans fatty acids (TFA) in the food supply, those formed during the industrial partial hydrogenation of vegetable oils (iTFA) and those formed by biohydrogenation in ruminants (rTFA), including vaccenic acid (VA) and the naturally occurring isomer of conjugated linoleic acid, cis-9, trans-11 CLA (c9,t11-CLA).","acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids"
1156,"acetic acid, 2,2,2-trifluoro-;acetic acid, trifluoro-;acid, trifluoroacetic;perfluoroacetic acid;tfa;trifluoroacetic acid",acid fatty trans,0.0,foodchem,contains,"acetic acid, 2,2,2-trifluoro-",2,"There are 2 predominant sources of dietary trans fatty acids (TFA) in the food supply, those formed during the industrial partial hydrogenation of vegetable oils (iTFA) and those formed by biohydrogenation in ruminants (rTFA), including vaccenic acid (VA) and the naturally occurring isomer of conjugated linoleic acid, cis-9, trans-11 CLA (c9,t11-CLA).___Most of this food contains high amounts of saturated fatty acids (SFA) and of hydrogenated or trans fatty acids (TFA), that probably represent the prominent risk factors in the diet.","acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids"
1157,amino acids,acid fatty trans,0.0,foodchem,contains,amino acids,1,"The results are discussed in the light of the typical nutrients and other compounds present in meat--that is, saturated and trans fatty acids, dietary cholesterol, protein and amino acids, heme-iron, sodium, nitrites and nitrosamines, and advanced glycation end products.","acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids"
1158,"benz(b)indeno(1,2-d)pyran-9(6h)-one, 6a,7-dihydro-3,4,6a,10-tetrahydroxy-;ferrate(2-), (7,12-diethenyl-3,8,13,17-tetramethyl-21h,23h-porphine-2,18-dipropanoato(4-)-n21,n22,n23,n24)-, dihydrogen, (sp-4-2)-;ferroheme;ferroprotoporphyrin;haem;haeme;hem;heme;heme (substance);heme b;heme group;hemes;protoheme;protoheme ix;reduced hematin",acid fatty trans,0.0,foodchem,contains,"benz(b)indeno(1,2-d)pyran-9(6h)-one, 6a,7-dihydro-3,4,6a,10-tetrahydroxy-",1,"The results are discussed in the light of the typical nutrients and other compounds present in meat--that is, saturated and trans fatty acids, dietary cholesterol, protein and amino acids, heme-iron, sodium, nitrites and nitrosamines, and advanced glycation end products.","acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids"
1159,"fatty acid;fatty acid (substance);fatty acid, nos;fatty acids",acid fatty trans,0.0,foodchem,contains,fatty acid,1,"Fatty acids can be divided into four general categories: saturated, monounsaturated, polyunsaturated, and trans fats.","acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids"
1160,iron,acid fatty trans,0.0,foodchem,contains,iron,1,"The results are discussed in the light of the typical nutrients and other compounds present in meat--that is, saturated and trans fatty acids, dietary cholesterol, protein and amino acids, heme-iron, sodium, nitrites and nitrosamines, and advanced glycation end products.","acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids"
1161,"nitrite salt;nitrite salt (substance);nitrite salt, nos;nitrites",acid fatty trans,0.0,foodchem,contains,nitrite salt,1,"The results are discussed in the light of the typical nutrients and other compounds present in meat--that is, saturated and trans fatty acids, dietary cholesterol, protein and amino acids, heme-iron, sodium, nitrites and nitrosamines, and advanced glycation end products.","acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids"
1162,"nitrosamine;nitrosamine (substance);nitrosamine compound;nitrosamine, nos;nitrosamines",acid fatty trans,0.0,foodchem,contains,nitrosamine,1,"The results are discussed in the light of the typical nutrients and other compounds present in meat--that is, saturated and trans fatty acids, dietary cholesterol, protein and amino acids, heme-iron, sodium, nitrites and nitrosamines, and advanced glycation end products.","acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids"
1163,sodium,acid fatty trans,0.0,foodchem,contains,sodium,1,"The results are discussed in the light of the typical nutrients and other compounds present in meat--that is, saturated and trans fatty acids, dietary cholesterol, protein and amino acids, heme-iron, sodium, nitrites and nitrosamines, and advanced glycation end products.","acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids"
1164,"(-)-cholesterol;(3beta)-cholest-5-en-3-ol;(3β,14β,17α)-cholest-5-en-3-ol;5-cholesten-3b-ol;cholest-5-en-3-ol (3beta)-;cholest-5-en-3beta-ol;cholesterol;cholesterol (substance)","acid, saturated fatty",0.0,foodchem,contains,cholesterol,2,"It is well established that, due to their high content of saturated fatty acids (SFA), the intake of meat and meat products is strongly associated with elevated blood cholesterol concentrations and an increased risk of hypertension, diabetes and cardiovascular diseases.___Eggs were the main food source of cholesterol and milk was the prime source of saturated fatty acids and protein.","acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids"
1165,"acetic acid, 2,2,2-trifluoro-;acetic acid, trifluoro-;acid, trifluoroacetic;perfluoroacetic acid;tfa;trifluoroacetic acid","acid, saturated fatty",0.0,foodchem,contains,"acetic acid, 2,2,2-trifluoro-",1,"Most of this food contains high amounts of saturated fatty acids (SFA) and of hydrogenated or trans fatty acids (TFA), that probably represent the prominent risk factors in the diet.","acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids"
1166,"acid fatty polyunsaturated;acid, polyunsaturated fatty;acids fatty polyunsaturated;acids, polyunsaturated fatty;fatty acid, polyunsaturated;fatty acid, total polyunsaturated;fatty acids, polyunsaturated;fatty acids.polyunsaturated;polyunsaturated fatty acid;polyunsaturated fatty acid (substance);polyunsaturated fatty acids;pufa;pufa (polyunsaturated fatty acid);pufa - polyunsat fatty acid;pufa - polyunsaturated fatty acid;pufas","acid, saturated fatty",0.0,foodchem,contains,acid fatty polyunsaturated,2,"Obtained from a tropical plant, Elaesis guineensis, it has a polyunsaturated fatty acid/saturated fatty acid ratio close to unity and a high amount of antioxidant vitamin A precursors and vitamin E. Palm oil is consumed in the fresh state and/or at various levels of oxidation.___Refined corn oil is composed of 99% triacylglycerols with polyunsaturated fatty acid (PUFA) 59%, monounsaturated fatty acid 24%, and saturated fatty acid (SFA) 13%.","acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids"
1167,"acid, monounsaturated fatty;acids, monounsaturated fatty;fatty acid, monounsaturated;fatty acid, total monounsaturated;fatty acids, monounsaturated;fatty acids.monounsaturated;monounsaturated fatty acid;monounsaturated fatty acid (substance);monounsaturated fatty acids;mufa;mufa - monounsat fatty acid;mufa - monounsaturated fatty acid","acid, saturated fatty",0.0,foodchem,contains,"acid, monounsaturated fatty",1,"Refined corn oil is composed of 99% triacylglycerols with polyunsaturated fatty acid (PUFA) 59%, monounsaturated fatty acid 24%, and saturated fatty acid (SFA) 13%.","acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids"
1168,"acid, unsaturated fatty;acids, unsaturated fatty;dietary supplements fatty acids (unsaturated);fatty acid, unsaturated;fatty acids, unsaturated;unsaturated fatty acid;unsaturated fatty acid (substance);unsaturated fatty acid, nos;unsaturated fatty acids;unsaturated fatty acids (medication)","acid, saturated fatty",0.0,foodchem,contains,"acid, unsaturated fatty",1,"The major nutritional changes which achieve this are optimising energy balance, reducing total fats and saturated fatty acids and increasing plant foods which are rich sources of unsaturated fatty acids, fibre and antioxidants.","acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids"
1169,"simple carbohydrate;simple carbohydrate (substance);sugar (substance);sugar, nos;sugars","acid, saturated fatty",0.0,foodchem,contains,simple carbohydrate,1,"The so-called Western diet is rich in saturated fat and sugars and poor in plant-derived fibers, and it is associated with an increased risk of metabolic and cardiovascular diseases, as well as chronic (low grade) inflammation.","acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids"
1170,vitamin a,"acid, saturated fatty",0.0,foodchem,contains,vitamin a,1,"Obtained from a tropical plant, Elaesis guineensis, it has a polyunsaturated fatty acid/saturated fatty acid ratio close to unity and a high amount of antioxidant vitamin A precursors and vitamin E. Palm oil is consumed in the fresh state and/or at various levels of oxidation.","acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids"
1171,"4',5, 7-trihydroxyisoflavone;4',5,7-trihydroxyisoflavone;5,7,4'-trihydroxyisoflavone;5,7-dihydroxy-3-(4-hydroxyphenyl)-4h-1-benzopyran-4-one;genestein;genistein;genistein (medication);genisteol;genisterin;herbal medicines genistein;prunetol;sophoricol",additive food,1.0,foodchem,contains,"4',5, 7-trihydroxyisoflavone",1,Genistein is widely used as a pharmacological compound as well as a food additive.,"additive food;additive, food;additives food;additives, food;food additive;food additive (substance);food additive, nos;food additives"
1175,2 phenyl benzopyran;2 phenyl benzopyrans;2 phenyl chromene;2 phenyl chromenes;2-phenyl-benzopyrans;2-phenyl-chromenes;flavonoid;flavonoid (substance);flavonoid-containing product;flavonoids;product containing flavonoid (product),alfalfa,1.0,foodchem,contains,flavonoids,1,"The protective effect of these extracts is attributed to the presence of flavonoids in soy and alfalfa extracts and ascorbic acid in acerola cherry extract, which may act synergistically as antioxidants.",alfalfa;alfalfa (dietary);lucerne;medicago afganica;medicago grandiflora;medicago ladak;medicago mesopotamica;medicago orientalis;medicago polia;medicago praesativa;medicago sativa;medicago sativa whole;medicago sogdiana;trigonella upendrae
1176,"2-(1,2-dihydroxyethyl)-4,5-dihydroxy-furan-3-one;a46 vitamin c preparations;acid, ascorbic;acid, l-ascorbic;acide ascorbique;acidum ascorbicum;acidum ascorbinicum;ascorbic acid;ascorbic acid (medication);ascorbic acid (substance);ascorbic acid (vit c);ascorbic acid [nutrition];ascorbic acid [nutrition] (product);ascorbic acid [nutrition] (substance);ascorbic acid [urine ph - no drugs here];ascorbic acid [urine ph - no drugs here] (product);ascorbic acid [urine ph - no drugs here] (substance);ascorbic acid [urine ph];ascorbic acid preparation;ascorbic acid product;ascorbic acid-containing product;ascorbinsäure;c vitamin;l ascorbic acid;l-(+)-ascorbic acid;l-ascorbic acid;product containing ascorbic acid;product containing ascorbic acid (medicinal product);vit c;vitamin c (ascorbic acid);vitamin c preparation;vitamin c preparation (product);vitamin c preparation (substance);vitamin c preparation, nos;vitamin c preparations;vitamin c product;vitamin-c;vitamina c;vitamins ascorbic acid;vitc - ascorbic acid;ácido ascórbico",alfalfa,1.0,foodchem,contains,"2-(1,2-dihydroxyethyl)-4,5-dihydroxy-furan-3-one",1,"The protective effect of these extracts is attributed to the presence of flavonoids in soy and alfalfa extracts and ascorbic acid in acerola cherry extract, which may act synergistically as antioxidants.",alfalfa;alfalfa (dietary);lucerne;medicago afganica;medicago grandiflora;medicago ladak;medicago mesopotamica;medicago orientalis;medicago polia;medicago praesativa;medicago sativa;medicago sativa whole;medicago sogdiana;trigonella upendrae
1177,"(+)-catechin;(+)-catechol;(+)-cyanidan-3-ol;(+)-cyanidanol;(2r,3s)-(+)-catechin;(2r,3s)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol;(2r,3s)-catechin;(2r-trans)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2h-1-benzopyran-3,5,7-triol;2h-1-benzopyran-3,5,7-triol, 2-(3,4-dihydroxyphenyl)-3,4-dihydro-, (2r-trans)-;3,3',4',5,7-flavanpentol;catechin;catechin (product);catechin (substance);catechin product;catechin-containing product;catechinic acid;catechins;catechu;catechuic acid;cianidanol;cianidanolum;cyanidanol;d-(+)-catechin;d-catechin;d-catechol;product containing catechin;product containing catechin (medicinal product)",almond,1.0,foodchem,contains,(+)-catechin,1,Almond skin flavonoids (ASF) were extracted with HCl:H2O:methanol (1:19:80) and their content of catechins and flavonols identified by HPLC with electrochemical detection.,almond
1178,2 phenyl 3 hydroxy benzopyran 4 ones;2-phenyl-3-hydroxy-benzopyran-4-ones;3 hydroxy 4 keto flavonoids;3-hydroxy-4-keto-flavonoids;flavonols,almond,1.0,foodchem,contains,2 phenyl 3 hydroxy benzopyran 4 ones,1,Almond skin flavonoids (ASF) were extracted with HCl:H2O:methanol (1:19:80) and their content of catechins and flavonols identified by HPLC with electrochemical detection.,almond
1179,2 phenyl benzopyran;2 phenyl benzopyrans;2 phenyl chromene;2 phenyl chromenes;2-phenyl-benzopyrans;2-phenyl-chromenes;flavonoid;flavonoid (substance);flavonoid-containing product;flavonoids;product containing flavonoid (product),almond,1.0,foodchem,contains,flavonoids,1,Almond skin flavonoids (ASF) were extracted with HCl:H2O:methanol (1:19:80) and their content of catechins and flavonols identified by HPLC with electrochemical detection.,almond
1180,"alcohol methyl;alcohol wood;alcohol, methyl;alcohol, wood;alcohol,methyl;carbinol;methanol;methanol (substance);methyl alcohol;methyl alcohol (substance);methyl alcohol (substance) [ambiguous];wood alcohol;wood alcohol (substance);wood naphtha",almond,0.0,foodchem,contains,alcohol methyl,1,Almond skin flavonoids (ASF) were extracted with HCl:H2O:methanol (1:19:80) and their content of catechins and flavonols identified by HPLC with electrochemical detection.,almond
1181,hcl,almond,0.0,foodchem,contains,hcl,1,Almond skin flavonoids (ASF) were extracted with HCl:H2O:methanol (1:19:80) and their content of catechins and flavonols identified by HPLC with electrochemical detection.,almond
1182,"acetic acid, 2,2,2-trifluoro-;acetic acid, trifluoro-;acid, trifluoroacetic;perfluoroacetic acid;tfa;trifluoroacetic acid",anhydrous butterfat,1.0,foodchem,contains,"acetic acid, 2,2,2-trifluoro-",1,Vanaspati ghee and margarine have high contents of TFA.,"anhydrous butterfat;anhydrous butterfats;butter oil;butter oils;butter, clarified;butterfat, anhydrous;butterfats, anhydrous;butters, clarified;clarified butter;clarified butters;ghee;ghee (substance);ghees;oil, butter;oils, butter"
1183,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4h-1-benzopyran-4-one;3,3',4',5,7-pentahydroxyflavone;3,5,7,3',4'-pentahydroxyflavone;4h-1-benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;c.i. natural yellow 10;dikvertin;product containing quercetin;product containing quercetin (medicinal product);quercetin;quercetin (substance);quercetin preparation;quercetin preparation (product);quercetin preparation (substance);quercetin product;quercetin-containing product;sophoretin",apple,1.0,foodchem,contains,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4h-1-benzopyran-4-one",1,"Other significant flavonol sources included onion (isorhamnetin and quercetin), broccoli (kaempferol and quercetin), apple (quercetin), grape (quercetin), coffee (myrcetin), and beans (quercetin).",apple
1184,"3,4',5,7-tetrahydroxy-3'-methoxy-flavone;3,4',5,7-tetrahydroxy-3'-methoxyflavone;3-methyl-quercetin;3-methylquercetin;3-o-methylquercetin;iso-rhamnetin;isorhamnetin;isorhamnetine",apple,0.0,foodchem,contains,"3,4',5,7-tetrahydroxy-3'-methoxy-flavone",1,"Other significant flavonol sources included onion (isorhamnetin and quercetin), broccoli (kaempferol and quercetin), apple (quercetin), grape (quercetin), coffee (myrcetin), and beans (quercetin).",apple
1185,"3,4',5,7-tetrahydroxyflavone;3,5,7-trihydroxy-2-(4-hydroxyphenyl)-4h-1- benzopyran-4-one;3,5,7-trihydroxy-2-(4-hydroxyphenyl)-4h-1-benzopyran-4-one;3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one;kaempferol;kempferol;populnetin;rhamnolutein;robigenin;swartziol;trifolitin",apple,0.0,foodchem,contains,"3,4',5,7-tetrahydroxyflavone",1,"Other significant flavonol sources included onion (isorhamnetin and quercetin), broccoli (kaempferol and quercetin), apple (quercetin), grape (quercetin), coffee (myrcetin), and beans (quercetin).",apple
1186,flavonol,apple,1.0,foodchem,contains,flavonol,1,"Other significant flavonol sources included onion (isorhamnetin and quercetin), broccoli (kaempferol and quercetin), apple (quercetin), grape (quercetin), coffee (myrcetin), and beans (quercetin).",apple
1187,"(e)-5-(2-(4-hydroxyphenyl)ethenyl)-1,3-benzenediol(e)-5-(2-(4-hydroxyphenyl)ethenyl)-1,3-benzenediol;(e)-5-[2-(4-hydroxyphenyl)ethenyl]-1,3-benzenediol;(e)-resveratrol;1,3-benzenediol, 5-((e)-2-(4-hydroxyphenyl)ethenyl)-;3,4',5-stilbenetriol;3,4',5-trihydroxystilbene;3,5,4'-trihydroxystilbene;5-[(e)-2-(4-hydroxyphenyl)vinyl]benzene-1,3-diol;dietary supplements resveratrol;resv;resveratrol;resveratrol (medication);resveratrol (substance)",apple (substance),1.0,foodchem,contains,"(e)-5-(2-(4-hydroxyphenyl)ethenyl)-1,3-benzenediol(e)-5-(2-(4-hydroxyphenyl)ethenyl)-1,3-benzenediol",1,"Resveratrol (3,5,4'-trihydroxystilbene) is a natural phytoalexin that accumulates in several vegetables and fruits like nuts, grapes, apples, red fruits, black olives, capers, red rice as well as red wines.",apple (substance);apple - dietary;apple - dietary (substance);apples
1188,2 phenyl benzopyran;2 phenyl benzopyrans;2 phenyl chromene;2 phenyl chromenes;2-phenyl-benzopyrans;2-phenyl-chromenes;flavonoid;flavonoid (substance);flavonoid-containing product;flavonoids;product containing flavonoid (product),apple (substance),1.0,foodchem,contains,flavonoids,1,"Apples are a major food source of flavonoids, antioxidants known for their free radical-scavenging properties.",apple (substance);apple - dietary;apple - dietary (substance);apples
1189,211 phenols;phenol and derivatives (substance);phenols,argan oil,1.0,foodchem,contains,211 phenols,1,Argan oil contains a high level of oleic and linoleic acid and is also particularly rich in phenols.,argan oil;argania spinosa kernel oil;moroccan oil
1190,delphinidine-3-(p-coumaroylrutinoside)-5-glucoside;nasunin,aubergine,1.0,foodchem,contains,delphinidine-3-(p-coumaroylrutinoside)-5-glucoside,1,"The antioxidant vitamins, including vitamin A, vitamin C and β-carotene, were lower and some of the polyphenolic components, especially nasunin content, were higher in grilled eggplants, but they were unable to demonstrate better cardioprotective properties compared to the raw fruit.",aubergine;aubergine (substance);aubergines;brinjal;brinjals;eggplant;eggplants
1191,vitamin a,aubergine,1.0,foodchem,contains,vitamin a,1,"The antioxidant vitamins, including vitamin A, vitamin C and β-carotene, were lower and some of the polyphenolic components, especially nasunin content, were higher in grilled eggplants, but they were unable to demonstrate better cardioprotective properties compared to the raw fruit.",aubergine;aubergine (substance);aubergines;brinjal;brinjals;eggplant;eggplants
