,term_1_umls_name,term_2_umls_name,sentence,term_1_umls_synonyms,term_2_umls_synonyms,pipeline,relation,evidence_count,Treat/Cause_str,is_correct,
391,"acid, monounsaturated fatty",coronary heart disease,"Evidence is accumulating that diets low in saturated fatty acids and high in monounsaturated fatty acids are effective in controlling blood lipid levels; a likely consequence could be a beneficial effect on the risk of coronary heart disease.___It is concluded that the significantly longer lag phase for oxidation of LDL, the higher HDL cholesterol level and the lower triacylglycerol level in subjects following a carotenoid-controlled, MUFA-enriched diet may decrease the risk of coronary heart disease.","acid, monounsaturated fatty;acids, monounsaturated fatty;fatty acid, monounsaturated;fatty acid, total monounsaturated;fatty acids, monounsaturated;fatty acids.monounsaturated;monounsaturated fatty acid;monounsaturated fatty acid (substance);monounsaturated fatty acids;mufa;mufa - monounsat fatty acid;mufa - monounsaturated fatty acid",coronary heart disease,chemdis,treat,2,treat,0,
392,"acid, monounsaturated fatty",inflamm,"There are persuasive evidences that dietary substitution of monounsaturated fatty acids (MUFA) or n-6 polyunsaturated fatty acids (PUFA) for SFA lowers blood cholesterol and may have beneficial effects on inflammation, thrombosis, and vascular reactivity.","acid, monounsaturated fatty;acids, monounsaturated fatty;fatty acid, monounsaturated;fatty acid, total monounsaturated;fatty acids, monounsaturated;fatty acids.monounsaturated;monounsaturated fatty acid;monounsaturated fatty acid (substance);monounsaturated fatty acids;mufa;mufa - monounsat fatty acid;mufa - monounsaturated fatty acid","inflamm;inflammation;inflammation (morphologic abnormality);inflammation (qualifier value);inflammation nos;inflammation, nos;inflammations;inflammatory reaction;inflammatory reaction, nos",chemdis,treat,1,treat,0,
393,"acid, monounsaturated fatty",thrombosis,"There are persuasive evidences that dietary substitution of monounsaturated fatty acids (MUFA) or n-6 polyunsaturated fatty acids (PUFA) for SFA lowers blood cholesterol and may have beneficial effects on inflammation, thrombosis, and vascular reactivity.","acid, monounsaturated fatty;acids, monounsaturated fatty;fatty acid, monounsaturated;fatty acid, total monounsaturated;fatty acids, monounsaturated;fatty acids.monounsaturated;monounsaturated fatty acid;monounsaturated fatty acid (substance);monounsaturated fatty acids;mufa;mufa - monounsat fatty acid;mufa - monounsaturated fatty acid",thrombosis,chemdis,treat,1,treat,0,
394,"acid, n-3 fatty",(neoplasms) or (cancers),"Epidemiological studies and animal experiments indicate that n-3 fatty acids exert protective effects against some common cancers, especially cancers of the breast, colon and prostate.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids","(neoplasms) or (cancers);(neoplasms) or (cancers) (disorder);[x]mal neo w'out specfctn/site;[x]malignant neoplasm without specification of site;[x]malignant neoplasm without specification of site (disorder);^cancer;ca;ca - cancer;ca - unspecified site;ca - unspecified site nos;ca - unspecified site nos (disorder);cancer (diagnosis);cancer (nos);cancer nos;cancer, nos;cancer, unspecified site;cancers;mal neo w'out specfctn/site;malig neop of unspec site;malig neop of unspec site nos;malignancies;malignancy nos;malignancy, unspecified site;malignant growth;malignant neoplasm (diagnosis);malignant neoplasm of unspecified site;malignant neoplasm of unspecified site (disorder);malignant neoplasm of unspecified site nos;malignant neoplasm of unspecified site nos (disorder);malignant neoplasm without specification of site;malignant neoplastic disease;malignant neoplastic disease (disorder);malignant tumor;malignant tumor (disorder);malignant tumoral disease;malignant tumors;malignant tumour;malignant tumour (disorder);malignant tumours;neoplasm malignant;neoplasm/cancer;neoplasms - malignant;neoplasms, malignant;neoplastic disease, malignant;tumor; malignant, unclassified;tumor; unclassified, malignant",chemdis,treat,1,treat,1,
395,"acid, n-3 fatty",3-00 cardiovascular disorders: general terms,"Epidemiologic data suggest that omega-3 fatty acids derived from fish oil reduce cardiovascular disease.___Cardioceuticals are nutritional supplements that contain all the essential nutrients including vitamins, minerals, omega-3-fatty acids and other antioxidants like a-lipoic acid and coenzyme Q10 in the right proportion that provide all round protection to the heart by reducing the most common risks associated with the cardiovascular disease including high low-density lipoprotein cholesterol and triglyceride levels and factors that contribute to coagulation of blood.___Results from prospective cohort studies and randomized, controlled trials have provided evidence of a protective effect of n-3 fatty acids against cardiovascular diseases.___Omega-3 fatty acids are increasingly used for the protection of cardiovascular disease.___Data supporting the efficacy of omega-3 fatty acids in the prevention of cardiovascular disease have been inconsistent and controversial.___Increased consumption of omega-3 polyunsaturated fatty acids (PUFA) together with lifestyle measures and medications is recommended for the prevention of cardiovascular diseases.___Consumption of active food ingredients such as omega-3 polyunsaturated fatty acids, flavanols and phytosterols has many beneficial effects on cardiovascular disease.___The results support the view that Lp-PLA(2) may relate to CAD and that intake of marine n-3 fatty acids might reduce plasma Lp-PLA(2) suggesting another mechanism by which n-3 fatty acids could reduce the risk of cardiovascular disease.___Results of epidemiologic studies and clinical trials indicate that moderate doses of n-3 fatty acids reduce the risk of cardiovascular disease and may improve prognosis.___We found that omega-3 fatty acids have shown to significantly reduce coronary mortality and sudden death in people without prior cardiovascular disease and reduce all-cause death and cardiac mortality in secondary prevention studies.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids","3-00 cardiovascular disorders: general terms;[x]cardiovasc disease,unspecif;[x]cardiovascular disease, unspecified;[x]cardiovascular disease, unspecified (disorder);cardiovasc dis;cardiovasc disease,unspecif;cardiovascular disease;cardiovascular disease (cvd);cardiovascular disease, nos;cardiovascular disease, unspecified;cardiovascular diseases;cardiovascular disorder;cardiovascular disorder (nos);cardiovascular disorder nos;cardiovascular disorder, nos;cardiovascular disorders;cardiovascular disorders (diagnosis);cardiovascular disorders, general;cardiovascular disorders: general terms;cardiovascular system disease;cardiovascular system diseases;cardiovascular system--diseases;cardiovascular; disorder;chapter 3 diseases of the cardiovascular system;cv disorders;cvd - cardiovascular disease;cvd, nos;cvs - cardiovascular system diseases;cvs disease;cvs disease - cardiovascular system disease;cvs disorders nos;disease (or disorder); cardiovascular;disease of cardiovascular system;disease of cardiovascular system (disorder);disease of cardiovascular system, nos;disease or syndrome of cardiovascular system;disease, cardiovascular;disease;cardiovascular;diseases affecting the entire cardiovascular system;diseases and syndromes of cardiovascular system;diseases of the cardiovascular system;diseases, cardiovascular;disorder cardiovascular (nos);disorder of cardiovascular system;disorder of cardiovascular system (disorder);general cardiovascular system diseases and syndromes;section 3-0 diseases affecting the entire cardiovascular system",chemdis,treat,10,treat,1,
396,"acid, n-3 fatty",3-10 heart diseases: general terms,"Supplementation of nutrients such as taurine, carnitine, coenzyme Q10, and omega-3 polyunsaturated fatty acids may have benefits in dogs or cats with cardiac disease through a number of different mechanisms.___There is a large body of evidence supporting beneficial effects of omega-3 fatty acids for both primary and secondary prevention of cardiac disease in people.___The UK dietary guidelines for cardiovascular disease acknowledge the importance of long-chain omega-3 polyunsaturated fatty acids (PUFA) - a component of fish oils - in reducing heart disease risk.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids","3-10 heart diseases: general terms;cardiac dis;cardiac disease;cardiac diseases;cardiac disorder;cardiac disorder nos;cardiac disorders;cardiopathies;cardiopathy;cardiopathy, nos;cordis; morbus;disease cardiac;disease disorders heart;disease hearts;disease or syndrome of heart;disease;heart;diseases and syndromes of heart;diseases disorders heart;diseases of the heart;disorder cardiac (nos);disorder heart;disorder of heart;heart dis;heart disease;heart disease (diagnosis);heart disease (disorder);heart disease disorder;heart disease nos;heart disease nos (disorder);heart disease, nos;heart disease, unspecified;heart diseases;heart diseases: general terms;heart disorder;heart disorders;heart--diseases;morbus cordis;morbus cordis nos;morbus cordis, nos;morbus; cordis;rndx cardiac;rndx cardiac (diagnosis);section 3-1 heart diseases;syndrome heart disease;unspecified heart problem",chemdis,treat,3,treat,1,
397,"acid, n-3 fatty",3-14-15 ischemic heart diseases,Epidemiological studies have connected a high dietary intake of n-3 fatty acids with a low occurrence of IHD.,"acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids","3-14-15 ischemic heart diseases;disease, ischemic heart;disease;ischaemic heart;disease;ischemic heart;diseases, ischemic heart;heart dis ischemic;heart disease, ischemic;heart diseases, ischemic;heart, ischemic disease;ihd;ihd - ischaemic heart disease;ihd - ischemic heart disease;ischaemia myocardial;ischaemic heart disease (disorder);ischaemic heart disease nos;ischaemic heart disease nos (disorder);ischaemic heart disease, nos;ischaemic heart diseases;ischemia myocardial;ischemia, myocardial;ischemia; heart;ischemia; myocardial;ischemias, myocardial;ischemic heart dis;ischemic heart disease (diagnosis);ischemic heart disease (disorder);ischemic heart disease nos;ischemic heart disease nos (disorder);ischemic heart disease or syndrome;ischemic heart disease, nos;ischemic heart diseases;ischemic heart diseases (i20-i25);ischemic heart diseases and syndromes;myocardial ischaemia (disorder);myocardial ischaemia, nos;myocardial ischemia (diagnosis);myocardial ischemia (disorder);myocardial ischemia, nos;myocardial ischemia/hypoxia;myocardial ischemias;myocardium; ischemic",chemdis,treat,1,treat,1,
398,"acid, n-3 fatty",351 thrombi,"N-3 fatty acids, through their anti-inflammatory and anti-thrombotic properties, might reduce the levels of these proatherosclerotic markers and thereby the development of ACS.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids","351 thrombi;clot, blood;clots, blood;thrombotic;thrombus (morphologic abnormality);thrombus, nos",chemdis,treat,1,treat,1,
399,"acid, n-3 fatty",[d]microalbuminuria,"The consumption of fish or fish oil containing omega-3 polyunsaturated fatty acids reduces the risk of coronary heart disease, decreases triglyceride, blood pressure, and inflammatory markers, improves endothelial function, prevents certain cardiac arrhythmias, reduces platelet aggregation (including reactivity and adhesion), reduces vasoconstriction, enhances fibrinolysis, reduces fibrin formation, and decreases the risk of microalbuminuria and sudden cardiac death.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids",[d]microalbuminuria;[d]microalbuminuria (context-dependent category);[d]microalbuminuria (situation);albuminuria micro;microalbuminuria;microalbuminuria (diagnosis);microalbuminuria (finding);moderately increased albuminuria,chemdis,treat,1,treat,1,
400,"acid, n-3 fatty",a fib,Prophylactic supplementation with omega-3 polyunsaturated fatty acids (PUFAs) reduce vulnerability to atrial fibrillation (AF).,"acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids","a fib;af;af - atrial fibrillation;afib;atrial fibrillation (af);atrial fibrillation (diagnosis);atrial fibrillation (disorder);atrial fibrillations;atrium; fibrillation;auricular fibrillation;auricular fibrillations;auricular; fibrillation;fibrillation - atrial;fibrillation atrial;fibrillation, atrial;fibrillation, auricular;fibrillation; atrial or auricular;fibrillation;atrial;fibrillations, atrial;fibrillations, auricular;quivering upper heart chambers resulting in irregular heartbeat",chemdis,treat,1,treat,1,
401,"acid, n-3 fatty",abnormal heart rhythms,"The consumption of fish or fish oil containing omega-3 polyunsaturated fatty acids reduces the risk of coronary heart disease, decreases triglyceride, blood pressure, and inflammatory markers, improves endothelial function, prevents certain cardiac arrhythmias, reduces platelet aggregation (including reactivity and adhesion), reduces vasoconstriction, enhances fibrinolysis, reduces fibrin formation, and decreases the risk of microalbuminuria and sudden cardiac death.___n-3 Fatty acids may protect against heart disease mortality by preventing fatal arrhythmias.___As omega-3 fatty acids have been considered a cardioprotector agent, reducing cardiac arrhythmias and hence sudden cardiac deaths and given their relative safety and general health benefits, our update article summarizes the knowledge by the possible positive effects of omega-3 supplementation and fish consumption against sudden cardiac death in patients with schizophrenia.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids","abnormal heart rhythms;arrhythmia (cardiac) nos;arrhythmia (finding);arrhythmia (nos);arrhythmia cardiac (nos);arrhythmia nos;arrhythmia, cardiac;arrhythmia, nos;arrhythmias;arrhythmias (heart);arrhythmias, cardiac;arrythmia;cardiac arrhythmia (disorder);cardiac arrhythmia (nos);cardiac arrhythmia nos;cardiac arrhythmia, irregular pulse;cardiac arrhythmia, nos;cardiac arrhythmia, unspecified;cardiac arrhythmias;cardiac dysrhythmia (disorder);cardiac dysrhythmia nos;cardiac dysrhythmia nos (disorder);cardiac dysrhythmia, nos;cardiac dysrhythmia, unspecified;cardiac dysrhythmias nos;cardiac rhythm disorder (diagnosis);cardiac rhythm disturbance;cardiac rhythm disturbances;cardiac rhythm irregular;cardiac rhythm, abnormal;cardiac; dysrhythmia;disorder of heart rhythm;disorder; rhythm, heart;disturbance; rhythm, heart;dysrhythmia;dysrhythmia(s);dysrhythmia, cardiac;dysrhythmia; cardiac;dysrhythmia;cardiac;dysrhythmias;ectopic beats all types;heart arrhythmia;heart arrhythmias;heart rhythm disorders;heart: rhythm;rhythm, heart; abnormal;rhythm; abnormal;rhythm; disorder",chemdis,treat,3,treat,1,
402,"acid, n-3 fatty",arrhythmia,"Omega-3 fatty acids have been shown to reduce arrhythmia in animal models and people.___Omega-3 polyunsaturated fatty acids (long-chain omega-3 PUFA) have proved to be beneficial in atherosclerosis, arrhythmia and hypertriglyceridemia in several studies, which has led national and international societies to recommend an intake of 1 g/d long-chain omega-3 PUFA for anti-atherosclerotic and antiarrhythmic purposes or 2-4 g/d for a lipid lowering effect.___The beneficial effects of omega-3 fatty acids might be the result of their ability to reduce triglyceride levels, blood pressure, platelet aggregation, arrhythmia, and atherogenesis.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids",arrhythmia,chemdis,treat,3,treat,1,
403,"acid, n-3 fatty",arrhythmic,This article presents a systematic analysis of anti-arrhythmic effects of omega-3 PUFA and of standardized ethyl esters of omega-3 PUFA.___Omega-3 fatty acids' anti-inflammatory and anti-arrhythmic effects may be beneficial in managing the loss of lean body mass and arrhythmias that are common in heart failure.___Omega-3 polyunsaturated fatty acids (ω-3 PUFA) supplementation is an attractive therapeutic option for patients undergoing open-heart surgery due to their anti-inflammatory and anti-arrhythmic properties.,"acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids",arrhythmic,chemdis,treat,3,treat,1,
404,"acid, n-3 fatty",atherosclerosis,"In this regard, long-chain omega-3 fatty acids have a plethora of data for stabilizing vulnerable atherosclerotic plaques as well as reversing atherosclerosis.___Omega-3 polyunsaturated fatty acids (long-chain omega-3 PUFA) have proved to be beneficial in atherosclerosis, arrhythmia and hypertriglyceridemia in several studies, which has led national and international societies to recommend an intake of 1 g/d long-chain omega-3 PUFA for anti-atherosclerotic and antiarrhythmic purposes or 2-4 g/d for a lipid lowering effect.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids",atherosclerosis,chemdis,treat,2,treat,1,
405,"acid, n-3 fatty",atrial fibrillation,Prophylactic supplementation with omega-3 polyunsaturated fatty acids (PUFAs) reduce vulnerability to atrial fibrillation (AF).,"acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids",atrial fibrillation,chemdis,treat,1,treat,1,
407,"acid, n-3 fatty",cardiac death,"The GISSI-Prevenzione Trial found a significant reduction in relative reduction of death, cardiac death, nonfatal myocardial infarction, and stroke in subjects consuming n-3 fatty acids.___The consumption of fish or fish oil containing omega-3 polyunsaturated fatty acids reduces the risk of coronary heart disease, decreases triglyceride, blood pressure, and inflammatory markers, improves endothelial function, prevents certain cardiac arrhythmias, reduces platelet aggregation (including reactivity and adhesion), reduces vasoconstriction, enhances fibrinolysis, reduces fibrin formation, and decreases the risk of microalbuminuria and sudden cardiac death.___As omega-3 fatty acids have been considered a cardioprotector agent, reducing cardiac arrhythmias and hence sudden cardiac deaths and given their relative safety and general health benefits, our update article summarizes the knowledge by the possible positive effects of omega-3 supplementation and fish consumption against sudden cardiac death in patients with schizophrenia.___Clinical studies of omega-3 polyunsaturated fatty acids (PUFAs) have shown a reduction in sudden cardiac death, suggesting that omega-3 PUFAs may have antiarrhythmic effects.","acid, n-3 fatty;acid, omega-3 fatty;dietary supplements fatty acids (unsaturated) omega-3;fatty acid omega 3;fatty acid, n-3;fatty acid, n3;fatty acid, omega-3;fatty acids n 03;fatty acids omega 03;fatty acids, omega-3;fatty acids.omega 3;n 3 fatty acid;n 3 fatty acids;n 3 oil;n 3 oils;n 3 polyunsaturated fatty acid;n 3 pufa;n-3 fatty acid;n-3 fatty acid (substance);n-3 fatty acids;n-3 oil;n-3 oils;n-3 polyunsaturated fatty acid;n-3 pufa;n3 fatty acid;n3 oil;n3 oils;n3 polyunsaturated fatty acid;n3 pufa;oil, n-3;oil, n3;omega 3;omega 3 fatty acid;omega 3 fatty acids;omega fatty acids 03;omega-3;omega-3 acid;omega-3 acid triglycerides;omega-3 fatty acids;omega-3 fatty acids (medication);omega-3 phospholipids;omega-3 polyunsaturated fatty acid;omega-3 polyunsaturated fatty acids;omega-3 pufa;omega-3-fatty acids;pufa, n-3;pufa, n3;ω-3 fatty acids","cardiac death;cardiac deaths;cardiac; death;death, cardiac;death; cardiac",chemdis,treat,4,treat,1,
